country;variable;percentile;year;value;age;pop
US-DE;sfiinc992t;p0p100;1917;1.0;992;t
US-DE;sfiinc992t;p0p100;1918;1.0;992;t
US-DE;sfiinc992t;p0p100;1919;1.0;992;t
US-DE;sfiinc992t;p0p100;1920;1.0;992;t
US-DE;sfiinc992t;p0p100;1921;1.0;992;t
US-DE;sfiinc992t;p0p100;1922;1.0;992;t
US-DE;sfiinc992t;p0p100;1923;1.0;992;t
US-DE;sfiinc992t;p0p100;1924;1.0;992;t
US-DE;sfiinc992t;p0p100;1925;1.0;992;t
US-DE;sfiinc992t;p0p100;1926;1.0;992;t
US-DE;sfiinc992t;p0p100;1927;1.0;992;t
US-DE;sfiinc992t;p0p100;1928;1.0;992;t
US-DE;sfiinc992t;p0p100;1929;1.0;992;t
US-DE;sfiinc992t;p0p100;1930;1.0;992;t
US-DE;sfiinc992t;p0p100;1931;1.0;992;t
US-DE;sfiinc992t;p0p100;1932;1.0;992;t
US-DE;sfiinc992t;p0p100;1933;1.0;992;t
US-DE;sfiinc992t;p0p100;1934;1.0;992;t
US-DE;sfiinc992t;p0p100;1935;1.0;992;t
US-DE;sfiinc992t;p0p100;1936;1.0;992;t
US-DE;sfiinc992t;p0p100;1937;1.0;992;t
US-DE;sfiinc992t;p0p100;1938;1.0;992;t
US-DE;sfiinc992t;p0p100;1939;1.0;992;t
US-DE;sfiinc992t;p0p100;1940;1.0;992;t
US-DE;sfiinc992t;p0p100;1941;1.0;992;t
US-DE;sfiinc992t;p0p100;1942;1.0;992;t
US-DE;sfiinc992t;p0p100;1943;1.0;992;t
US-DE;sfiinc992t;p0p100;1944;1.0;992;t
US-DE;sfiinc992t;p0p100;1945;1.0;992;t
US-DE;sfiinc992t;p0p100;1946;1.0;992;t
US-DE;sfiinc992t;p0p100;1947;1.0;992;t
US-DE;sfiinc992t;p0p100;1948;1.0;992;t
US-DE;sfiinc992t;p0p100;1949;1.0;992;t
US-DE;sfiinc992t;p0p100;1950;1.0;992;t
US-DE;sfiinc992t;p0p100;1951;1.0;992;t
US-DE;sfiinc992t;p0p100;1952;1.0;992;t
US-DE;sfiinc992t;p0p100;1953;1.0;992;t
US-DE;sfiinc992t;p0p100;1954;1.0;992;t
US-DE;sfiinc992t;p0p100;1955;1.0;992;t
US-DE;sfiinc992t;p0p100;1956;1.0;992;t
US-DE;sfiinc992t;p0p100;1957;1.0;992;t
US-DE;sfiinc992t;p0p100;1958;1.0;992;t
US-DE;sfiinc992t;p0p100;1959;1.0;992;t
US-DE;sfiinc992t;p0p100;1960;1.0;992;t
US-DE;sfiinc992t;p0p100;1961;1.0;992;t
US-DE;sfiinc992t;p0p100;1962;1.0;992;t
US-DE;sfiinc992t;p0p100;1963;1.0;992;t
US-DE;sfiinc992t;p0p100;1964;1.0;992;t
US-DE;sfiinc992t;p0p100;1965;1.0;992;t
US-DE;sfiinc992t;p0p100;1966;1.0;992;t
US-DE;sfiinc992t;p0p100;1967;1.0;992;t
US-DE;sfiinc992t;p0p100;1968;1.0;992;t
US-DE;sfiinc992t;p0p100;1969;1.0;992;t
US-DE;sfiinc992t;p0p100;1970;1.0;992;t
US-DE;sfiinc992t;p0p100;1971;1.0;992;t
US-DE;sfiinc992t;p0p100;1972;1.0;992;t
US-DE;sfiinc992t;p0p100;1973;1.0;992;t
