Report generated on: 02-28-2022 15:44:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.26-2-GLP-BCF.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-GUM-BCF.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-GTM-BCF.A","        Guatemala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-GIN-BCF.A","        Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-GNB-BCF.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-GUY-BCF.A","        Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-HTI-BCF.A","        Haiti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029033887","0.03303606","0.02305344","0.051918604","0.02113232","0.042","0.118"
"INTL.26-2-HITZ-BCF.A","        Hawaiian Trade Zone","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","","--","--","--"
"INTL.26-2-HND-BCF.A","        Honduras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-HKG-BCF.A","        Hong Kong","0","0","0","0","0","0","0","0","0","0","13.6294907354346","14.699499904489","16.4819432664756","17.3790490926457","18.7631810888252","19.8902212034384","65.82716","103.9638285","96.8867025","106.955009","95.27987","96.1592135","91.39522","67.87543","89.13506","108.41705","105.895559","94.99735","118.6584","113.255205","141.9663","112.831425","102.06035","96.869045","92.278095","114.526545","119.4225296","119.024261","115.1789683","116.7319366","173.5016481"
"INTL.26-2-HUN-BCF.A","        Hungary","344","350","368","367","382","395","417","417","411","418","394","393","348.56","372.326","375.363135","406.69","452.985505","430.843","433.138475","436.669975","424.98071","472.126235","472.973795","514.75144","510.37238","529.124645","501.54363","468.48879","462.732445","400.18958","428.44158","408.9477","364.87458","339.129945","316.28114","332.94982","355.0215075","367.1697643","353.0438843","359.5064744","372.4095476"
"INTL.26-2-ISL-BCF.A","        Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-IND-BCF.A","        India","51","64","89","106","113","135","180","227","310","315","399","449","476.7525","531.8439","593.64","627.55","696.4118","716.8945","760.6851","752.2095","718.66025","708.77205","921.0152","964.0995","1087.702","1269.2211","1369.86885","1460.6284","1518.19185","1882.64265","2277.46435","2260.51315","2105.4803","1854.0375","1813.14273","1753.142545","1952.102119","1999.600138","2147.904042","2201.348484","2177.03998"
"INTL.26-2-IDN-BCF.A","        Indonesia","248","248","236","316","369","436","471","487","517","579","629.67","764.9229","796.7064","849.681","965.15","1061.22","1136.78985","1125.48905","982.81645","1124.4296","957.7428","725.72325","797.05955","805.182","675.2228","719.0134","992.3515","1126.5485","1200.0037","1344.44205","1460.27525","1320.0747","1377.9913","1489.5867","1473.3418","1501.24065","1480.6818361605","1494.6081365505","1538.874305","1503.284633","1365.759541"
"INTL.26-2-IRN-BCF.A","        Iran","232","155","200","310","476","600","536","565","706","784","764.569","803","882.875","938.3205","1123.02","1243.08","1373.7535","1663.3365","1827.55125","2111.837","2220.96035","2478.4067","2798.00745","2909.956","3020.8451","3707.3687","3839.09365","3992.0076","4212.72635","4993.541","5105.8427","5420.887815","5484.06635","5568.11605","6128.07069","6567.636495","7014.5087088","7306.314074","7661.579956","7794.110893",""
"INTL.26-2-IRQ-BCF.A","        Iraq","45.023307","23","24","18","20","29.19016261","31.6323","35","88","100.4079225","69.59106","61.15578","79.78369","90.053","111.94","111.95","114.4206","107.71075","104.17925","112.3017","111.24225","97.4694","83.3434","54.82932","35.147","51.20675","63.567","141.7980755","212.9727345","227.6601182","238.16271","208.851509","210.264097","236.043828","252.28859","244.166209","335.984429","394.959978","510.268735","636.1644353",""
"INTL.26-2-IRL-BCF.A","        Ireland","32","49","73","77","82","87","59","59","71","80","82","84","82.99","94.19","95.85","101.57","113.961505","118.37588","117.74021","124.52069","141.719095","148.323","151.43072","152.13702","156.51608","145.391855","162.66089","175.30366","182.86107","177.245985","194.37376","170.677395","167.11058","160.18884","154.926905","153.76151","180.3181644","184.7678166","191.3061778","193.9327483",""
"INTL.26-2-ISR-BCF.A","        Israel","5","5","3","2","2","2","1.4","2.1","1.4","1.4","1.059","1.059","0.76","1.05945","1.06","0.71","0.7063","0.7063","0.7063","0.35315","0.35315","0.35315","0.35315","0.7063","23.66105","24.36735","34.25555","40.2591","50.8536","101.7072","128.89975","117.2458","51.91305","180.1065","281.8137","305.8279","353.2555421","353.4674303","323.2480397","333.4570482",""
"INTL.26-2-ITA-BCF.A","        Italy","972","942","944","967","1135","1151","1217","1346","1460","1581","1674","1775","1760.31149","1800.99","1748.13","1920.61","1984.13796","2047.5637","2204.538875","2396.087435","2498.359675","2505.210785","2488.22427","2743.304515","2846.706835","3046.448475","2983.517145","2998.137555","2997.643145","2755.41756","2934.570555","2751.638855","2645.623225","2474.486735","2186.42228","2384.574745","2504.3622074","2653.9552766","2567.305516","2624.347093",""
"INTL.26-2-JAM-BCF.A","        Jamaica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.60764705882353","6.9605882352941","3.452941176","9.894117647","24.48823529"
"INTL.26-2-JPN-BCF.A","        Japan","898.322173","920.218754","951.288702","1015.502271","1365.777273","1460.639026","1487.350746","1535.256107","1610.646422","1722.90594","1957.723047","2096.483403","2119.891305","2169.729751","2276.717219","2358.926052","2458.567797","2538.105458","2601.194323","2758.477148","2844.130387","2832.777906","2904.337198","3000.534537","2983.62883","2960.994162","3254.014701","3538.178196","3467.673314","3428.906173","3615.466449","4221.119553","4385.150602","4370.037392","4192.263866","3992.031407","4069.741424","3979.768689","3803.309274","3605.942456",""
"INTL.26-2-JOR-BCF.A","        Jordan","0","0","0","0","0","0","0","0","0","2.8","4.59","4.59","5.3","7.063","9.89","10.24","9.53505","10.24135","9.8882","9.8882","10.24135","10.24135","10.94765","23.3079","49.79415","55.0914","79.45875","91.819","103.47295","108.41705","96.7631","45.9095","34.67933","47.710565","15.82112","102.307555","178.3401041","184.6614354","187.8711298","164.2484091",""
"INTL.26-2-KAZ-BCF.A","        Kazakhstan","--","--","--","--","--","--","--","--","--","--","--","--","709.83","522.66","529.72","383.429910028653","509.95","494.41","473.221","480.284","490.8785","505.0045","526.1935","321.22524","482.720735","393.05595","376.81105","717.95395","793.1749","470.04265","411.0666","459.095","437.55285","477.81195","463.68595","480.63715","511.9966036","542.716399816","547.4023033","514.0796435",""
"INTL.26-2-KEN-BCF.A","        Kenya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-KIR-BCF.A","        Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-XKS-BCF.A","        Kosovo","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-KWT-BCF.A","        Kuwait","244","100","100","124","144","140","191","284","351","415","218.6","18","92.525","191.407","210.83","210.83","210.83055","327.37005","317.835","305.1216","339.024","300.1775","282.52","321.3665","342.5555","434.3745","438.25915","425.8989","448.5005","437.164385","512.879745","600.00185","641.496975","653.009665","647.641785","738.401335","786.1468094","766.6884097","769.7129145","858.9588798",""
"INTL.26-2-KGZ-BCF.A","        Kyrgyzstan","--","--","--","--","--","--","--","--","--","--","--","--","84.76","79.1","63.57","31.07","64.42","67.8048","67.59291","67.45165","67.557595","71.19504","42.378","26.027155","32.454485","26.1331","27.40444","27.136046","26.48625","23.145451","16.31553","14.126","15.04419","14.33789","15.150135","6.3567","6.6330782608696","6.6330782608696","7.714410861","7.339743845",""
"INTL.26-2-LAO-BCF.A","        Laos","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-LVA-BCF.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","56.5","28.25","24.72","38.85","35.32","45.9095","45.9095","45.55635","56.504","60.0355","60.0355","63.567","67.45165","68.5111","67.0985","58.26975","44.85005","55.0914","64.308615","56.64526","53.25502","51.595215","46.3686394","46.792375","48.4521659","42.7311845","50.22006123","47.47936846","37.70850246"
"INTL.26-2-LBN-BCF.A","        Lebanon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4126","5.29725","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-LSO-BCF.A","        Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-LBR-BCF.A","        Liberia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-LBY-BCF.A","        Libya","180","110","88","112","122","143","168","161","157","165","175","175.15","174","168.0994","173.39","171.28","184.3443","192.46675","192.46675","149.7356","183.638","190.34785","197.0577","167.74625","209.41795","205.88645","165.803925","187.8758","194.2325","212.24315","241.69586","191.937025","202.35495","250.7365","209.7711","158.56435","179.609873607","157.146687373","165.5907892","149.0347949",""
"INTL.26-2-LTU-BCF.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","141.26","84.76","81.22","98.88","91.82","102.4135","113.008","75.5741","91.819","97.4694","102.06035","107.00445","103.1198","107.3576","102.76665","121.4836","124.66195","96.40995","109.82965","120.071","117.2458","114.4206","98.1757","88.2514353","77.7276547","81.5938247","75.4782467","78.7820647",""
"INTL.26-2-LUX-BCF.A","        Luxembourg","20","15","11","10","11","12","12","14","15","17","17","18","18.78758","19.529195","19.67","22.46","24.543925","25.00302","25.179595","26.027155","26.662825","27.68696","42.625205","42.554575","47.922455","47.216155","49.546945","46.33328","44.320325","44.814735","48.16966","41.81296","42.87241","36.51571","34.53807","31.112515","28.5698566","27.934192","27.45243207","27.40515935",""
"INTL.26-2-MAC-BCF.A","        Macau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4627603136","2.599515067","0","0.0125367185","2.0448977035","0.0681926857","0.354912735","6.2948805897","3.340594047","4.828225784",""
"INTL.26-2-MDG-BCF.A","        Madagascar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MWI-BCF.A","        Malawi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MYS-BCF.A","        Malaysia","56","62","53","77","152","225","279","265","289","297","197.41085","233.079","253.91485","325.95745","411.0666","484.87495","498.6478","564.3337","579.51915","566.4526","684.4047","719.7197","842.96905","846.1474","752.9158","979.28495","1142.44025","1062.9815","1131.13945","1099.7091","1151.9753","1100.06225","1114.89455","1158.68515","1242.417015","1119.83865","1045.5012065","1075.4480721","1348.79195","1398.000667",""
"INTL.26-2-MDV-BCF.A","        Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MLI-BCF.A","        Mali","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MLT-BCF.A","        Malta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1000042","12.16109457","13.73863851","14.67726288"
"INTL.26-2-MTQ-BCF.A","        Martinique","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MRT-BCF.A","        Mauritania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MUS-BCF.A","        Mauritius","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MEX-BCF.A","        Mexico","799","865","943","945","946","990","880","893","904","881","918","978.367","991.397995","1058.920275","1101.298275","1106.91336","1167.58453","1240.9691","1423.936115","1371.387395","1472.247035","1494.283595","1684.137035","1893.837505","1988.65828","1947.48099","2173.78","2279.971715","2361.30216","2552.809","2269.231","2329.08","2426.19","2529.17","2569.804","2756","2864.5898247862","2881.5005476463","2932.573013","3040.641014",""
"INTL.26-2-FSM-BCF.A","        Micronesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MDA-BCF.A","        Moldova","--","--","--","--","--","--","--","--","--","--","--","--","77.69","63.57","49.44","49.44","70.63","84.756","81.57765","74.1615","75.22095","72.39575","77.693","84.0497","76.63355","86.52175","93.58475","86.1686","88.9938","82.28395","76.63355","74.51465","122.54305","115.8332","111.24225","96.40995","97.4340763","88.8879189","96.7576837","98.9658196",""
"INTL.26-2-MNG-BCF.A","        Mongolia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MNE-BCF.A","        Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MSR-BCF.A","        Montserrat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MAR-BCF.A","        Morocco","2.5","3.2","3","3.2","2","3","3","2.1","2.1","2.1","2","1.37417421203438","0.847316905444126","1.059","1.06","0.71","0.71","1.76575","1.76575","1.4126","1.76575","1.76575","1.76575","1.76575","1.4126","15.96051747851","20.1717549188157","22.8884","19.7764","19.7764","20.12955","28.252","44.179065","42.837095","41.6717","42.978355","43.684649","43.331502","39.1812388","37.13895207",""
"INTL.26-2-MOZ-BCF.A","        Mozambique","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1189","2.1189","2.1189","2.1189","2.1189","2.8252","2.47205","4.59095","5.29725","7.063","6.3567","5.29725","2.8252","18.3638","45.55635","55.0914","63.567","66.921925","62.719475700001","64.6970989","42.3816988","49.35619645",""
"INTL.26-2-NAM-BCF.A","        Namibia","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NRU-BCF.A","        Nauru","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NPL-BCF.A","        Nepal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NLD-BCF.A","        Netherlands","1493","1421","1511","1451","1540","1624","1620","1672","1513","1550","1535","1741.700485","1668.91627","1743.395605","1684.772705","1729.44618","1916.650995","1795.803065","1773.37804","1732.76579","1737.63926","1772.707055","1754.696405","1766.66819","1809.68186","1757.239085","1687.91574","1641.405885","1712.00057","1728.45736","1939.21728","1693.601455","1608.88077","1627.10331","1421.71127","1408.57409","1468.2206183","1531.9636518","1498.345546","1580.437129",""
"INTL.26-2-NLDA-BCF.A","        Netherlands Antilles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NCL-BCF.A","        New Caledonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NZL-BCF.A","        New Zealand","39","47","80","84","105","134","157","151","165","168","169","182","195.00943","175.1617","174.773935","166.015815","186.32194","198.788135","174.985825","200.30668","212.349095","227.85238","213.23197","164.673845","145.70969","145.70969","136.492475","152.84332","146.55725","150.053435","166.227705","152.737375","159.094075","169.759205","189.606235","178.6939","178.7998441","182.7550905","162.6786586","174.6750706",""
"INTL.26-2-NIC-BCF.A","        Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NER-BCF.A","        Niger","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NGA-BCF.A","        Nigeria","38","76","50","81","97","108","116","131","133","166","131","168","173.0435","178.3408","160.68","183.28","192.8199","206.59275","208.3585","219.30615","237.66995","219.30615","224.6034","300.53065","329.1358","365.8634","385.6398","374.339","433.491625","146.9104","177.63445","542.191195","547.3825","584.8164","667.488815","664.6283","652.9744484","609.2901645","654.4501645","663.4789188",""
"INTL.26-2-NIU-BCF.A","        Niue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-PRK-BCF.A","        North Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MKD-BCF.A","        North Macedonia","--","--","--","--","--","--","--","--","--","--","--","--","9.42147117296223","10.42","0","0","0","0","0.7063","1.4126","0","0","0","0","3.5315","3.5315","3.5315","2.8252","2.47205","2.8252","2.8252","4.2378","2.8252","1.4126","1.76575","2.1189","4.8381319","7.0276433","6.3247033","7.7305833",""
"INTL.26-2-MNP-BCF.A","        Northern Mariana Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-NOR-BCF.A","        Norway","35","34","39","46","41","47","87","60","70","73","80","78","130.59487","90.05","92.88","101.35","102.4135","128.19345","127.134","155.03285","140.20055","162.80215","189.9947","222.13135","282.16685","187.1695","119.3647","156.0923","122.8962","230.60695","194.44439","161.0364","153.2671","181.87225","207.29905","184.69745","176.5397543","143.4145657","145.2524375","148.3980317","140.5648854"
"INTL.26-2-OMN-BCF.A","        Oman","28","33","41","51","47","55","70","80","73","99","99","107.72","116.89265","139.84695","146.56","129.61","127.8403","158.56435","231.6664","181.5191","221.42505","223.8971","230.9601","225.66285","236.25735","330.19525","380.34255","384.3084245","477.4588","520.18995","618.7188","619.4251","745.49965","743.38075","798.013055","774.1048","770.10364449","775.1424871448","843.242752","857.42063",""
"INTL.26-2-PAK-BCF.A","        Pakistan","286","316","354","342","354","365","392","419","445","475","482","534","550.715","583","627.19","645.91","696.4118","698.5307","709.8315","783.993","855.68245","774.45795","808.7135","889.938","967.631","1087.702","1275.5778","1299.592","1341.97","1367.04365","1399.53345","1382.58225","1546.797","1391.411","1379.75705","1436.26105","1536.47004272","1590.9037103","1673.420817","1708.936966",""
"INTL.26-2-PSE-BCF.A","        Palestinian Territories","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-PAN-BCF.A","        Panama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.786","19.52041999",""
"INTL.26-2-PNG-BCF.A","        Papua New Guinea","0","0","0","0","0","0","0","0","0","0","0","0","2.12","2.8252","1.77","3.53","4.59095","3.88465","3.88465","3.88465","3.88465","3.88465","3.88465","4.9441","4.9441","3.5315","4.9441","4.80284","4.59095","3.5315","3.88465","3.5315","3.5315","3.88465","3.5315","3.5315","3.5315","3.5315","8.374016153","9.473798161","5.896857143"
"INTL.26-2-PRY-BCF.A","        Paraguay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-PER-BCF.A","        Peru","40","49","46","46","46","47","49","47","44","41","19","18.3642626480086","17.87178","33.9","34.61","32.84","34.25555","8.4756","14.47915","14.47915","12.0071","13.06655","15.5386","18.3638","30.3709","55.7977","62.8607","94.29105","128.89975","122.54305","193.87935","201.64865","233.43215","247.9113","270.5129","275.10385","293.49121685938","264.26294390149","268.6243","292.3368913",""
"INTL.26-2-PHL-BCF.A","        Philippines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.35","0.35315","0.35315","0.35315","0.35315","0.35315","7.063","67.0985","81.2245","77.693","74.1615","77.693","102.4135","103.8261","111.24225","101.0009","111.24225","97.11625","123.920335","95.3505","91.819","109.6882382","107.7832708","123.8315316","128.2810012",""
"INTL.26-2-POL-BCF.A","        Poland","418","412","402","411","433","443","464","474","469","461","427","399","373.06766","393.4091","393.373785","415.86944","462.520555","462.944335","462.20272","437.800055","472.620645","481.520025","473.99793","516.94097","549.254195","573.197765","571.573275","570.655085","575.21072","564.68685","605.828825","606.64107","639.095555","643.757135","623.59227","642.80363","671.761684","709.7249865","717.2485884","733.9171268","757.9922172"
"INTL.26-2-PRT-BCF.A","        Portugal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5315","28.46389","79.38812","80.5182","89.806045","109.935595","106.545355","132.7844","150.37127","146.168785","153.40836","166.6868","167.569675","181.5191","183.07296","158.56435","150.58316","144.049885","168.31129","177.2812238","220.6476754","201.2014729","211.0542742","209.6264302"
"INTL.26-2-PRI-BCF.A","        Puerto Rico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.36025","22.24845","22.24845","26.1331","24.0142","23.66105","25.4268","26","28.486","26.723","27.193","26.48625","48.0284","56.706929","58.713233","55.373429","61.334954","46.432854","60.268787","68.721584","48.258433"
"INTL.26-2-QAT-BCF.A","        Qatar","184","157","186","174","209","191","193","198","207","215","222","269.453","445.675","476.7525","476.74","476.75","483.8155","513.4801","522.30885","492.64425","531.8439","355.2689","392.34965","431.19615","530.78445","660.3905","692.52715","695.7055","713.398315","745.1465","769.867","899.8262","1307.3613","1468.856795","1450.38705","1418.356345","1359.5926842","1408.5388584","1310.092603","1331.428825",""
"INTL.26-2-REU-BCF.A","        Reunion","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-ROU-BCF.A","        Romania","1251","1267","1411","1446","1395","1336","1410","1405","1306","1384","1261","1040","935.85","908.302","850.74","900.53","893.82","829.9025","649.796","621.544","600.355","695.7055","646.2645","635.67","635.67","642.733","657.5653","605.2991","560.8022","454.50405","454.50405","486.35818","475.90494","426.569885","398.70635","387.40555","386.3814237","408.7003141","404.9133303","391.5526903",""
"INTL.26-2-RUS-BCF.A","        Russia","--","--","--","--","--","--","--","--","--","--","--","--","16481.51","16184.86","15213.7","14507.4","13085.6201","12298.44875","12603.57035","12582.38135","13058.7807","12905.5136","13564.13835","14204.3993","14567.08435","14330.47385","15223.94335","15226.76855","15545.663","13504.80915","16333.54065","16872.0944","16561.3224","16308.82015","16217.00115","15538.24685","15490.7132638","16510.1427087","17329.14569","16932.64425","16266.39182"
"INTL.26-2-RWA-BCF.A","        Rwanda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-SHN-BCF.A","        Saint Helena","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-KNA-BCF.A","        Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-LCA-BCF.A","        Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-SPM-BCF.A","        Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-VCT-BCF.A","        Saint Vincent/Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-WSM-BCF.A","        Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-STP-BCF.A","        Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
