year,location,antarctic_sea_ice_february,antarctic_sea_ice_september
1979,Antarctica,1.212360779,7.027059294
1980,Antarctica,1.088808088,7.266442632
1981,Antarctica,1.108113196,7.181500157
1982,Antarctica,1.208499758,7.084974618
1983,Antarctica,1.185333628,7.177639136
1984,Antarctica,1.034753786,7.015476229
1985,Antarctica,1.096530132,7.220110373
1986,Antarctica,1.231665887,6.826286171
1987,Antarctica,1.254832017,7.046364402
1988,Antarctica,1.11583524,7.069530531
1989,Antarctica,1.150584434,6.996171121
1990,Antarctica,1.173750563,7.023198272
1991,Antarctica,1.220082822,7.069530531
1992,Antarctica,1.096530132,7.007754186
1993,Antarctica,0.957533354,7.158334028
1994,Antarctica,1.235526909,7.185361179
1995,Antarctica,1.374523686,7.092696661
1996,Antarctica,1.150584434,7.193083222
1997,Antarctica,0.961394376,7.181500157
1998,Antarctica,1.154445455,7.297330805
1999,Antarctica,1.146723412,7.220110373
2000,Antarctica,1.123557283,7.293469784
2001,Antarctica,1.40927288,7.015476229
2002,Antarctica,1.142862391,6.907367625
2003,Antarctica,1.463327183,7.06566951
2004,Antarctica,1.382245729,7.305052848
2005,Antarctica,1.146723412,7.258720589
2006,Antarctica,1.023170721,7.370690215
2007,Antarctica,1.119696261,7.281886719
2008,Antarctica,1.501937399,7.007754186
2009,Antarctica,1.154445455,7.320496935
2010,Antarctica,1.200777714,7.258720589
2011,Antarctica,0.972977441,7.23555446
2012,Antarctica,1.370662664,7.417022474
2013,Antarctica,1.482632291,7.486520863
2014,Antarctica,1.482632291,7.629378662
2015,Antarctica,1.467188204,7.119723812
2016,Antarctica,1.077225024,7.007754186
2017,Antarctica,0.884173944,6.915089668
2018,Antarctica,0.89961803,6.934394776
2019,Antarctica,1.023170721,7.077252574
2020,Antarctica,1.127418304,7.274164676
2021,Antarctica,1.09266911,7.123584834
