,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2.0,Afghanistan,4.0,Algeria,230,"Cashew nuts, shelled",5910.0,Export Quantity,2016.0,2016.0,tonnes,*
1,3.0,Albania,7.0,Angola,1293,Crude materials,5922.0,Export Value,2015.0,2015.0,1000 US$,R
2,4.0,Algeria,9.0,Argentina,561,Raisins,5610.0,Import Quantity,2017.0,2017.0,Head,
3,8.0,Antigua and Barbuda,1.0,Armenia,723,Spices nes,5622.0,Import Value,2014.0,2014.0,1000 Head,A
4,9.0,Argentina,10.0,Australia,1232,Food prep nes,5908.0,,2011.0,2011.0,No,Im
5,1.0,Armenia,11.0,Austria,56,Maize,5608.0,,2010.0,2010.0,,F
6,22.0,Aruba,52.0,Azerbaijan,1058,"Meat, chicken",5609.0,,2009.0,2009.0,,M
7,10.0,Australia,13.0,Bahrain,897,"Milk, whole dried",5909.0,,2004.0,2004.0,,
8,11.0,Austria,16.0,Bangladesh,164,Sugar refined,5607.0,,2005.0,2005.0,,
9,52.0,Azerbaijan,14.0,Barbados,828,Cigarettes,5907.0,,1999.0,1999.0,,
10,12.0,Bahamas,57.0,Belarus,231,Almonds shelled,,,2007.0,2007.0,,
11,13.0,Bahrain,255.0,Belgium,711,"Anise, badian, fennel, coriander",,,2012.0,2012.0,,
12,16.0,Bangladesh,53.0,Benin,526,Apricots,,,2013.0,2013.0,,
13,14.0,Barbados,17.0,Bermuda,527,"Apricots, dry",,,2008.0,2008.0,,
14,57.0,Belarus,19.0,Bolivia (Plurinational State of),633,"Beverages, non alcoholic",,,2006.0,2006.0,,
15,255.0,Belgium,80.0,Bosnia and Herzegovina,191,Chick peas,,,2003.0,2003.0,,
16,15.0,Belgium-Luxembourg,20.0,Botswana,885,Cream fresh,,,2002.0,2002.0,,
17,23.0,Belize,21.0,Brazil,570,Figs dried,,,2001.0,2001.0,,
18,53.0,Benin,26.0,Brunei Darussalam,620,"Fruit, dried nes",,,2000.0,2000.0,,
19,17.0,Bermuda,27.0,Bulgaria,623,"Fruit, prepared nes",,,1997.0,1997.0,,
20,18.0,Bhutan,233.0,Burkina Faso,870,"Meat, cattle, boneless (beef & veal)",,,1996.0,1996.0,,
21,19.0,Bolivia (Plurinational State of),35.0,Cabo Verde,977,"Meat, sheep",,,1998.0,1998.0,,
22,80.0,Bosnia and Herzegovina,32.0,Cameroon,898,"Milk, skimmed dried",,,1986.0,1986.0,,
23,20.0,Botswana,33.0,Canada,234,Nuts nes,,,1990.0,1990.0,,
24,21.0,Brazil,40.0,Chile,235,"Nuts, prepared (exc. groundnuts)",,,1988.0,1988.0,,
25,26.0,Brunei Darussalam,96.0,"China, Hong Kong SAR",339,Oilseeds nes,,,1989.0,1989.0,,
26,27.0,Bulgaria,41.0,"China, mainland",22,Pastry,,,1991.0,1991.0,,
27,233.0,Burkina Faso,214.0,"China, Taiwan Province of",537,Plums dried (prunes),,,1994.0,1994.0,,
28,29.0,Burundi,44.0,Colombia,30,Rice - total  (Rice milled equivalent),,,1992.0,1992.0,,
29,35.0,Cabo Verde,48.0,Costa Rica,31,"Rice, milled",,,1987.0,1987.0,,
30,115.0,Cambodia,98.0,Croatia,1225,Tallow,,,1993.0,1993.0,,
31,32.0,Cameroon,49.0,Cuba,473,"Vegetables, frozen",,,1995.0,1995.0,,
32,33.0,Canada,50.0,Cyprus,472,"Vegetables, preserved nes",,,,,,
33,37.0,Central African Republic,167.0,Czechia,900,"Whey, dry",,,,,,
34,40.0,Chile,54.0,Denmark,892,"Yoghurt, concentrated or not",,,,,,
35,96.0,"China, Hong Kong SAR",59.0,Egypt,221,"Almonds, with shell",,,,,,
36,128.0,"China, Macao SAR",63.0,Estonia,907,"Cheese, processed",,,,,,
37,41.0,"China, mainland",209.0,Eswatini,901,"Cheese, whole cow milk",,,,,,
38,214.0,"China, Taiwan Province of",66.0,Fiji,666,Chocolate products nes,,,,,,
39,44.0,Colombia,67.0,Finland,173,Lactose,,,,,,
40,45.0,Comoros,68.0,France,497,Lemons and limes,,,,,,
41,46.0,Congo,73.0,Georgia,223,Pistachios,,,,,,
42,47.0,Cook Islands,79.0,Germany,232,"Walnuts, shelled",,,,,,
43,48.0,Costa Rica,81.0,Ghana,893,"Buttermilk, curdled, acidified milk",,,,,,
44,107.0,Côte d'Ivoire,84.0,Greece,16,"Flour, wheat",,,,,,
45,98.0,Croatia,89.0,Guatemala,889,"Milk, whole condensed",,,,,,
46,49.0,Cuba,91.0,Guyana,882,"Milk, whole fresh cow",,,,,,
47,50.0,Cyprus,95.0,Honduras,268,"Oil, sunflower",,,,,,
48,167.0,Czechia,97.0,Hungary,667,Tea,,,,,,
49,250.0,Democratic Republic of the Congo,100.0,India,15,Wheat,,,,,,
50,54.0,Denmark,101.0,Indonesia,891,Yoghurt,,,,,,
51,72.0,Djibouti,102.0,Iran (Islamic Republic of),1169,"Animals, live, non-food",,,,,,
52,55.0,Dominica,103.0,Iraq,176,"Beans, dry",,,,,,
53,58.0,Ecuador,104.0,Ireland,229,"Brazil nuts, shelled",,,,,,
54,59.0,Egypt,105.0,Israel,217,"Cashew nuts, with shell",,,,,,
55,60.0,El Salvador,106.0,Italy,693,Cinnamon (cannella),,,,,,
56,63.0,Estonia,110.0,Japan,249,Coconuts,,,,,,
57,209.0,Eswatini,112.0,Jordan,577,Dates,,,,,,
58,238.0,Ethiopia,108.0,Kazakhstan,569,Figs,,,,,,
59,62.0,Ethiopia PDR,114.0,Kenya,560,Grapes,,,,,,
60,64.0,Faroe Islands,118.0,Kuwait,243,"Groundnuts, shelled",,,,,,
61,66.0,Fiji,113.0,Kyrgyzstan,894,"Milk, whole evaporated",,,,,,
62,67.0,Finland,119.0,Latvia,534,Peaches and nectarines,,,,,,
