Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
105,Israel,,,,,,,,
106,Italy,,,,,,,,
109,Jamaica,,,,,,,,
110,Japan,,,,,,,,
112,Jordan,,,,,,,,
108,Kazakhstan,,,,,,,,
114,Kenya,,,,,,,,
83,Kiribati,,,,,,,,
118,Kuwait,,,,,,,,
113,Kyrgyzstan,,,,,,,,
120,Lao People's Democratic Republic,,,,,,,,
119,Latvia,,,,,,,,
121,Lebanon,,,,,,,,
122,Lesotho,,,,,,,,
123,Liberia,,,,,,,,
126,Lithuania,,,,,,,,
256,Luxembourg,,,,,,,,
129,Madagascar,,,,,,,,
130,Malawi,,,,,,,,
131,Malaysia,,,,,,,,
132,Maldives,,,,,,,,
133,Mali,,,,,,,,
134,Malta,,,,,,,,
136,Mauritania,,,,,,,,
137,Mauritius,,,,,,,,
138,Mexico,,,,,,,,
141,Mongolia,,,,,,,,
273,Montenegro,,,,,,,,
143,Morocco,,,,,,,,
144,Mozambique,,,,,,,,
28,Myanmar,,,,,,,,
147,Namibia,,,,,,,,
149,Nepal,,,,,,,,
150,Netherlands,,,,,,,,
151,Netherlands Antilles (former),,,,,,,,
153,New Caledonia,,,,,,,,
156,New Zealand,,,,,,,,
157,Nicaragua,,,,,,,,
158,Niger,,,,,,,,
159,Nigeria,,,,,,,,
162,Norway,,,,,,,,
221,Oman,,,,,,,,
165,Pakistan,,,,,,,,
166,Panama,,,,,,,,
169,Paraguay,,,,,,,,
170,Peru,,,,,,,,
171,Philippines,,,,,,,,
173,Poland,,,,,,,,
174,Portugal,,,,,,,,
117,Republic of Korea,,,,,,,,
146,Republic of Moldova,,,,,,,,
183,Romania,,,,,,,,
185,Russian Federation,,,,,,,,
184,Rwanda,,,,,,,,
188,Saint Kitts and Nevis,,,,,,,,
189,Saint Lucia,,,,,,,,
191,Saint Vincent and the Grenadines,,,,,,,,
244,Samoa,,,,,,,,
193,Sao Tome and Principe,,,,,,,,
194,Saudi Arabia,,,,,,,,
195,Senegal,,,,,,,,
272,Serbia,,,,,,,,
186,Serbia and Montenegro,,,,,,,,
197,Sierra Leone,,,,,,,,
199,Slovakia,,,,,,,,
198,Slovenia,,,,,,,,
25,Solomon Islands,,,,,,,,
202,South Africa,,,,,,,,
203,Spain,,,,,,,,
38,Sri Lanka,,,,,,,,
276,Sudan,,,,,,,,
206,Sudan (former),,,,,,,,
207,Suriname,,,,,,,,
209,Swaziland,,,,,,,,
210,Sweden,,,,,,,,
211,Switzerland,,,,,,,,
208,Tajikistan,,,,,,,,
216,Thailand,,,,,,,,
154,The former Yugoslav Republic of Macedonia,,,,,,,,
176,Timor-Leste,,,,,,,,
217,Togo,,,,,,,,
220,Trinidad and Tobago,,,,,,,,
222,Tunisia,,,,,,,,
223,Turkey,,,,,,,,
213,Turkmenistan,,,,,,,,
226,Uganda,,,,,,,,
230,Ukraine,,,,,,,,
225,United Arab Emirates,,,,,,,,
229,United Kingdom,,,,,,,,
215,United Republic of Tanzania,,,,,,,,
231,United States of America,,,,,,,,
234,Uruguay,,,,,,,,
228,USSR,,,,,,,,
235,Uzbekistan,,,,,,,,
155,Vanuatu,,,,,,,,
236,Venezuela (Bolivarian Republic of),,,,,,,,
237,Viet Nam,,,,,,,,
249,Yemen,,,,,,,,
248,Yugoslav SFR,,,,,,,,
251,Zambia,,,,,,,,
181,Zimbabwe,,,,,,,,
5000,World,,,,,,,,
5100,Africa,,,,,,,,
5101,Eastern Africa,,,,,,,,
5102,Middle Africa,,,,,,,,
5103,Northern Africa,,,,,,,,
5104,Southern Africa,,,,,,,,
5105,Western Africa,,,,,,,,
5200,Americas,,,,,,,,
5203,Northern America,,,,,,,,
5204,Central America,,,,,,,,
5206,Caribbean,,,,,,,,
5207,South America,,,,,,,,
5300,Asia,,,,,,,,
5301,Central Asia,,,,,,,,
5302,Eastern Asia,,,,,,,,
5303,Southern Asia,,,,,,,,
5304,South-Eastern Asia,,,,,,,,
5305,Western Asia,,,,,,,,
5400,Europe,,,,,,,,
5401,Eastern Europe,,,,,,,,
5402,Northern Europe,,,,,,,,
5403,Southern Europe,,,,,,,,
5404,Western Europe,,,,,,,,
5500,Oceania,,,,,,,,
5501,Australia & New Zealand,,,,,,,,
5502,Melanesia,,,,,,,,
5503,Micronesia,,,,,,,,
5504,Polynesia,,,,,,,,
5706,European Union,,,,,,,,
5801,Least Developed Countries,,,,,,,,
5802,Land Locked Developing Countries,,,,,,,,
5803,Small Island Developing States,,,,,,,,
5815,Low Income Food Deficit Countries,,,,,,,,
5817,Net Food Importing Developing Countries,,,,,,,,
